id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
83;68;Rorbas;8427;ZH;8.56901730081278;47.5323425082568;de;false
85;69;Wallisellen;8304;ZH;8.59627528941421;47.4212083556404;de;false
86;70;Wasterkingen;8195;ZH;8.47196951753831;47.5965337139355;de;false
87;70;Wil ZH;8196;ZH;8.47790900486234;47.6103184012357;de;false
91;72;Winkel;8185;ZH;8.55827906711865;47.482065408807;de;false
92;81;Bachs;8164;ZH;8.42573454308847;47.5287640591852;de;false
93;82;Boppelsen;8113;ZH;8.40719399716213;47.4699436077863;de;false
94;82;Regensberg;8158;ZH;8.40268100672375;47.4815012311466;de;false
95;83;Buchs ZH;8107;ZH;8.4406357946126;47.4586667370478;de;false
96;84;Dällikon;8108;ZH;8.43237475233064;47.4390037072323;de;false
97;85;Dänikon ZH;8114;ZH;8.40472268030871;47.444354604747;de;false
98;86;Dielsdorf;8157;ZH;8.45519210400892;47.475632240708;de;true
99;87;Hüttikon;8115;ZH;8.39229603321287;47.4411016813516;de;false
100;88;Steinmaur;8162;ZH;8.45690733674679;47.5108346025506;de;false
102;88;Neerach;8173;ZH;8.47546145156927;47.5065023867498;de;false
103;88;Stadel b. Niederglatt;8174;ZH;8.47398240658618;47.5209089479252;de;false
104;89;Niederhasli;8155;ZH;8.48034588187964;47.4912685186097;de;false
105;89;Niederglatt ZH;8172;ZH;8.50082309898388;47.4919298106689;de;false
107;90;Nassenwil;8155;ZH;8.47101635420185;47.4674530400651;de;false
108;90;Oberhasli;8156;ZH;8.49928366400726;47.4606358751725;de;false
109;91;Niederweningen;8166;ZH;8.37460605496678;47.4968895866705;de;false
110;92;Oberglatt ZH;8154;ZH;8.52491508435943;47.4803622222575;de;false
111;93;Siglistorf;5462;ZH;8.4007536766839;47.5275989259136;de;false
112;93;Oberweningen;8165;ZH;8.40578240923072;47.5040239673629;de;false
114;94;Otelfingen;8112;ZH;8.38499835455431;47.4657505060725;de;false
116;96;Regensdorf;8105;ZH;8.4658262856844;47.4319379157927;de;true
117;96;Watt;8105;ZH;8.48566401261593;47.4442332699726;de;false
118;96;Adlikon b. Regensdorf;8106;ZH;8.45900280492282;47.4524017704224;de;false
121;97;Rümlang;8153;ZH;8.52830156752117;47.4484639222419;de;false
122;98;Schleinikon;8165;ZH;8.39112726797213;47.4943602431758;de;false
123;99;Schöfflisdorf;8165;ZH;8.4204138126496;47.4995823879052;de;false
125;100;Windlach;8175;ZH;8.4742572057077;47.5477958435938;de;false
128;101;Sünikon;8162;ZH;8.4271427501413;47.4880570478252;de;false
129;102;Weiach;8187;ZH;8.44150911602826;47.5535188721948;de;false
130;111;Hinwil;8340;ZH;8.85150398304489;47.3231806444931;de;true
131;111;Bäretswil;8344;ZH;8.87394204941022;47.3361183185348;de;false
132;111;Adetswil;8345;ZH;8.83670180513698;47.3425641434619;de;false
133;111;Gibswil;8498;ZH;8.90890014908864;47.3202513261064;de;false
134;112;Bubikon;8608;ZH;8.81081314877708;47.2746639751806;de;false
135;112;Wolfhausen;8633;ZH;8.79803138047041;47.2584350062738;de;false
